WARNING (theano.tensor.blas): Using NumPy C-API based implementation for BLAS functions.
pybullet build time: Oct 11 2021 20:59:39
------------------------- test Main, avg_test_AL=0.0005193583076500848, avg_test_CL=0.0005195256953190134, max_test_CL=0.0023274142295122147
------------------------- test un normalized Main, avg_test_AL_un_norm=47.44527456168746, avg_test_CL_un_norm=47.46185623002447, max_test_CL_un_norm=273.0757212796002
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0002471649479606034, max_test_CL=0.0003397002292331308
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=30.30089684369726, max_test_CL_un_norm=43.653812041254355
train epoch=30, loader_type='Both', approx_losses.avg=0.0008613863169817099, constraint_losses.avg=0.0005517727668552349
------------------------- test Main, avg_test_AL=0.0006844475592115486, avg_test_CL=0.0006844094266093635, max_test_CL=0.0033899263944476843
------------------------- test un normalized Main, avg_test_AL_un_norm=79.75950375599935, avg_test_CL_un_norm=79.75106520383393, max_test_CL_un_norm=459.0561458637759
------------------------- test Omega, avg_test_AL=0, avg_test_CL=4.843403859225267e-05, max_test_CL=0.00010848810779862106
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=6.483551215223547, max_test_CL_un_norm=15.334877520612745
train epoch=31, loader_type='Both', approx_losses.avg=0.002474320787222435, constraint_losses.avg=0.0016249260406785955
------------------------- test Main, avg_test_AL=0.00283683577258004, avg_test_CL=0.0028371784337311206, max_test_CL=0.026056034490466118
------------------------- test un normalized Main, avg_test_AL_un_norm=254.49254049183247, avg_test_CL_un_norm=254.53226735571425, max_test_CL_un_norm=2151.0162810638244
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.001154423138825223, max_test_CL=0.001902876771055162
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=99.33241648193315, max_test_CL_un_norm=168.83915462197575
train epoch=32, loader_type='Both', approx_losses.avg=0.004286402966656412, constraint_losses.avg=0.0033235532249013583
------------------------- test Main, avg_test_AL=0.007956686020853037, avg_test_CL=0.007957159030328816, max_test_CL=0.05655210465192795
------------------------- test un normalized Main, avg_test_AL_un_norm=302.03132369960474, avg_test_CL_un_norm=302.0906439229635, max_test_CL_un_norm=1642.7386367328231
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.002683711683222403, max_test_CL=0.004674533382058144
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=180.3449644473021, max_test_CL_un_norm=234.23308722918196
train epoch=33, loader_type='Both', approx_losses.avg=0.006452385352086276, constraint_losses.avg=0.004555943646344046
------------------------- test Main, avg_test_AL=0.02046054318617098, avg_test_CL=0.020462446371132197, max_test_CL=0.11007742583751678
------------------------- test un normalized Main, avg_test_AL_un_norm=2080.268944831251, avg_test_CL_un_norm=2080.4936918981716, max_test_CL_un_norm=9302.064766731564
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0038685139232159903, max_test_CL=0.010557356290519238
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=488.0715443674751, max_test_CL_un_norm=1218.7698725901487
train epoch=34, loader_type='Both', approx_losses.avg=0.006167436177687099, constraint_losses.avg=0.00425473182303831
------------------------- test Main, avg_test_AL=0.0034993971601488738, avg_test_CL=0.003500139156310373, max_test_CL=0.01304623857140541
------------------------- test un normalized Main, avg_test_AL_un_norm=303.9278704924211, avg_test_CL_un_norm=304.0269953291892, max_test_CL_un_norm=1833.6466406594363
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0010363787732785568, max_test_CL=0.0016165849519893527
